study_code,mcb_pct,oi,agr
SP583,72.58,0.2448,0.023
SP584,68.08,0.223,-0.0221
SP585,54.87,0.1939,-0.0312
SP586,33.62,0.2996,-0.0316
SP587,39.89,0.3259,-0.0214
SP588,37.31,0.3352,0.0303
SP589,72.01,0.1705,0.0272
SP590,27.9,0.2267,0.0162
SP591,38.48,0.4084,-0.0542
SP592,59.65,0.1296,0.0477
SP593,32.25,0.202,-0.025
SP594,18.66,0.202,0.0142
SP595,62.98,0.1705,-0.0369
SP596,31.08,0.3675,-0.0569
SP597,50.35,0.1909,-0.0037
SP598,65.4,0.2267,-0.0357
SP599,60.61,0.1459,0.05
SP600,65.76,0.2088,-0.0431
SP601,70.24,0.1296,0.0244
SP602,52.82,0.6084,-0.1796
SP603,72.32,0.2488,-0.0717
SP604,56.8,0.165,-0.0121
SP605,70.49,0.0645,0.1195
SP606,68.58,0.2304,-0.0722
SP607,64.7,0.1133,0.1076
SP608,45.61,0.1507,0.024
SP609,18.7,0.4318,-0.1199
SP610,31.69,0.3689,-0.1067
SP611,38.63,0.4242,-0.1085
SP612,60.97,0.3049,-0.0112
SP613,17.03,0.2674,-0.0473
SP614,51.08,0.4172,-0.0929
SP615,34.97,0.3259,-0.1068
SP616,64.47,0.1097,0.0897
SP617,39.27,0.254,-0.0117
SP618,44.1,0.2267,0.0323
SP619,32.07,0.3259,-0.0848
SP620,72.15,0.1987,-0.015
SP621,60.51,0.2267,-0.0481
SP622,45.45,0.2718,0.0505
SP623,44.52,0.5368,-0.1267
SP624,54.05,0.115,0.0683
SP625,61.31,0.1483,0.0626
SP626,56.79,0.1987,0.055
SP627,51.37,0.3006,0.0023
SP628,27.69,0.447,-0.1675
SP629,37.21,0.2488,-0.0285
SP630,47.71,0.4242,-0.0588
SP631,35.0,0.5543,-0.1566
SP632,70.7,0.2341,-0.1031
